Symbol,Name,Price,Average Volume 10D Calc,Subtype,Recommend All|240,Recommend Ma|240,Recommend Other|240,Roc|240,Recommend All|60,Recommend Ma|60,Recommend Other|60,Roc|60,Recommend All|15,Recommend Ma|15,Recommend Other|15,Roc|15,Update Mode,TREND_SCORE,MA_SCORE,OSC_SCORE,ROC_SCORE,ENSEMBLE_SCORE,DIRECTION,TF_240_DIR,TF_60_DIR,TF_15_DIR,TF_CONFLUENCE_LONG,TF_CONFLUENCE_SHORT,TREND_DIR,MA_DIR,OSC_DIR,ROC_DIR,FACTOR_BULLISH_COUNT,CONFLUENCE_LEVEL,RATING_SCORE,ROC_AVG,STRATEGY,HTF_TREND,STF_TREND,CONFLUENCE_SCORE,LTF_MOMENTUM,ROC_240,ROC_60,ROC_15
ICMARKETS:AUDJPY,AUDJPY,109.836,226303.6,cfd,0.5121212121212121,0.9333333333333333,0.09090909090909091,0.4986686918410498,0.5818181818181818,0.8,0.36363636363636365,0.4600623782389582,0.4212121212121212,0.9333333333333333,-0.09090909090909091,0.023677260723063698,streaming,0.48757575757575755,0.8933333333333333,0.0818181818181818,0.3274694436010239,0.5121408837540418,long,bullish,bullish,bullish,3,0,bullish,bullish,bullish,bullish,4,strong,0.5121408837540418,0.3274694436010239,trend_following,0.5121212121212121,0.5818181818181818,2,,,,
ICMARKETS:AUDUSD,AUDUSD,0.70835,140392.8,cfd,0.5575757575757576,0.9333333333333333,0.18181818181818182,0.32007251200272485,0.4454545454545455,0.8,0.09090909090909091,0.5678994817917233,0.4454545454545455,0.8,0.09090909090909091,0.0876040297853793,streaming,0.4678787878787879,0.8266666666666667,0.1090909090909091,0.32519200785994246,0.48948889775569127,long,bullish,bullish,bullish,3,0,bullish,bullish,bullish,bullish,4,strong,0.48948889775569127,0.32519200785994246,trend_following,0.5575757575757576,0.4454545454545455,2,,,,
ICMARKETS:EURCHF,EURCHF,0.91365,90558.6,cfd,0.15454545454545454,0.4,-0.09090909090909091,0.138086731618578,0.5121212121212121,0.9333333333333333,0.09090909090909091,0.06789981491825355,0.5575757575757576,0.9333333333333333,0.18181818181818182,0.02627286560334738,streaming,0.4633333333333334,0.8266666666666667,0.1,0.07741980404672631,0.461075313738006,long,bullish,bullish,bullish,3,0,bullish,bullish,bullish,bullish,4,strong,0.461075313738006,0.07741980404672631,trend_following,0.15454545454545454,0.5121212121212121,2,,,,
ICMARKETS:AUDCAD,AUDCAD,0.96907,169660.8,cfd,0.5575757575757576,0.9333333333333333,0.18181818181818182,0.354235286806287,0.4454545454545455,0.8,0.09090909090909091,0.4759978844538451,0.31212121212121213,0.5333333333333333,0.09090909090909091,0.0072253589455119685,streaming,0.40121212121212124,0.6933333333333334,0.1090909090909091,0.27915284340188135,0.4182183146432185,long,bullish,bullish,bullish,3,0,bullish,bullish,bullish,bullish,4,strong,0.4182183146432185,0.27915284340188135,trend_following,0.5575757575757576,0.4454545454545455,2,,,,
ICMARKETS:EURGBP,EURGBP,0.87371,98375.6,cfd,0.4454545454545455,0.8,0.09090909090909091,-0.005722526151943884,0.26666666666666666,0.5333333333333333,0.0,0.059553122530545594,0.35757575757575755,0.5333333333333333,0.18181818181818182,0.019461489147358214,streaming,0.3478787878787879,0.5866666666666667,0.1090909090909091,0.024430695175319973,0.339412766487229,long,bullish,bullish,bullish,3,0,bullish,bullish,bullish,bullish,4,strong,0.339412766487229,0.024430695175319973,trend_following,0.4454545454545455,0.26666666666666666,2,,,,
ICMARKETS:NZDJPY,NZDJPY,92.639,193941.1,cfd,0.2212121212121212,0.5333333333333333,-0.09090909090909091,0.14161243595010078,0.3787878787878788,0.6666666666666666,0.09090909090909091,0.2608338023291048,0.28787878787878785,0.6666666666666666,-0.09090909090909091,-0.008635112526305323,streaming,0.30181818181818176,0.6399999999999999,-0.03636363636363637,0.13127037525096674,0.3185815829796421,long,bullish,bullish,bullish,3,0,bullish,bullish,bearish,bullish,3,strong,0.3185815829796421,0.13127037525096674,trend_following,0.2212121212121212,0.3787878787878788,2,,,,
ICMARKETS:USDCHF,USDCHF,0.77553,95664.7,cfd,0.31212121212121213,0.5333333333333333,0.09090909090909091,0.29228421406584526,0.15454545454545454,0.4,-0.09090909090909091,-0.07087354870302055,0.3787878787878788,0.6666666666666666,0.09090909090909091,-0.00515782958531566,streaming,0.2981818181818182,0.56,0.03636363636363637,0.07208427859250302,0.30175388240470485,long,bullish,bullish,bullish,3,0,bullish,bullish,bullish,bullish,4,strong,0.30175388240470485,0.07208427859250302,trend_following,0.31212121212121213,0.15454545454545454,2,,,,
ICMARKETS:EURJPY,EURJPY,182.69,220915.9,cfd,0.13333333333333333,0.26666666666666666,0.0,0.01259101111294934,0.26666666666666666,0.5333333333333333,0.0,0.024637554202627962,0.0,0.0,0.0,-0.043770141103983674,streaming,0.10666666666666667,0.21333333333333335,0.0,-0.002180525262802123,0.10644861414038646,long,bullish,bullish,neutral,2,0,bullish,bullish,neutral,bearish,2,medium,0.10644861414038646,-0.002180525262802123,trend_following,0.13333333333333333,0.26666666666666666,2,,,,
ICMARKETS:AUDNZD,AUDNZD,1.18477,176074.2,cfd,0.4,0.8,0.0,0.2801570911060639,0.2212121212121212,0.5333333333333333,-0.09090909090909091,0.12084234721471424,-0.1575757575757576,-0.13333333333333333,-0.18181818181818182,-0.03881037755746931,streaming,0.06757575757575757,0.2533333333333334,-0.11818181818181818,0.12072968692110293,0.09146690808604971,long,bullish,bullish,bearish,2,1,bullish,bullish,bearish,bullish,3,medium,0.09146690808604971,0.12072968692110293,trend_following,0.4,0.2212121212121212,2,,,,
ICMARKETS:GBPUSD,GBPUSD,1.34799,145598.1,cfd,-0.4454545454545455,-0.8,-0.09090909090909091,-0.2058313959514893,-0.02121212121212121,-0.13333333333333333,0.09090909090909091,0.02523191094619718,-0.403030303030303,-0.5333333333333333,-0.2727272727272727,-0.046719615564315885,streaming,-0.296969696969697,-0.4666666666666667,-0.12727272727272726,-0.07577303352320268,-0.2918197275947445,short,bearish,bearish,bearish,0,3,bearish,bearish,bearish,bearish,0,strong,-0.2918197275947445,-0.07577303352320268,trend_following,-0.4454545454545455,-0.02121212121212121,2,,,,
